Tienpit;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;ELY;Vkpv;Ontyyppi;Onluokka;Osallkm;Nopraj;Taajmerk;Pinta;Valoisuus;Saa;Onnpaikka;Maakunta;Kunta;Noplaji;Nopsuunvas;Nopsuunoik;Toimluokka;Kvl;Raskaskvl;Tienlev;X;Y;Tietyo;Paallyste;Lampotila;Risteys;Poikkileik;Paallyslev;Paallystlk;Nakos150;Nakos300;Nakos460;Runkotie
1;1;2;2554;1;2015;9;0;1;Lauantai;8;6;5;40;1;1;1;1;1;1;91;6;50;50;1;;;;382565;6675968;E;1;20;0;2;;-1;;;;0
1;1;3;3;2;2015;10;0;1;Keskiviikko;6;6;2;40;1;1;4;1;1;1;91;1;60;50;1;30931;1099;201;382589;6675855;E;1;-1;4;2;114;10;97;76;57;1
1;1;3;6;2;2015;1;0;1;Lauantai;13;2;2;60;0;2;1;2;1;1;91;1;60;50;1;30931;1099;201;382587;6675852;E;1;4;4;2;114;10;97;76;57;1
1;1;3;8;1;2015;7;0;1;Maanantai;6;6;2;40;1;1;1;2;1;1;91;1;60;50;1;30931;1099;201;382547;6675979;E;1;16;4;2;104;10;97;76;57;1
1;1;3;9;2;2015;10;0;1;Sunnuntai;4;3;2;40;1;1;4;2;1;1;91;1;60;50;1;30931;1099;201;382585;6675850;E;1;8;4;2;114;10;97;76;57;1
1;1;3;22;1;2015;10;0;1;Perjantai;3;3;2;50;1;1;4;2;1;1;91;1;60;50;1;30931;1099;201;382530;6675986;E;1;13;0;2;104;10;97;76;57;1
1;1;3;24;2;2015;9;0;1;Perjantai;8;6;2;50;1;1;1;1;1;1;91;1;60;50;1;30931;1099;201;382573;6675842;E;1;18;4;2;114;10;97;76;57;1
1;1;3;25;2;2015;4;0;1;Maanantai;8;6;2;60;1;-1;1;2;1;1;91;1;60;50;1;30931;1099;201;382572;6675841;E;1;5;4;2;114;10;97;76;57;1
1;1;3;26;2;2015;3;0;1;Maanantai;8;6;2;40;0;1;1;1;1;1;91;1;60;50;1;30931;1099;201;382587;6675811;E;1;8;4;2;114;10;97;76;57;1
1;1;3;30;2;2015;9;0;1;Lauantai;52;4;2;40;0;1;4;2;1;1;91;1;60;50;1;30931;1099;267;382567;6675840;E;1;11;4;2;115;10;97;76;57;1
1;1;3;72;2;2015;4;2;1;Perjantai;8;6;2;60;1;1;4;1;1;1;91;1;60;80;1;30931;1099;267;382525;6675839;E;1;2;4;2;115;10;97;76;57;1
1;1;3;72;2;2015;4;0;1;Keskiviikko;4;3;2;60;1;1;1;1;1;1;91;1;60;80;1;30931;1099;267;382525;6675839;E;1;8;4;2;115;10;97;76;57;1
1;1;3;152;1;2015;6;0;1;Maanantai;82;1;1;100;0;2;1;2;1;1;91;1;60;80;1;30931;1099;234;382423;6675915;E;1;16;0;2;104;10;97;76;57;1
1;1;3;173;1;2015;7;0;1;Perjantai;81;1;1;100;0;2;1;2;1;1;91;1;60;100;1;30931;1099;234;382402;6675914;E;1;16;0;2;104;10;97;76;57;1
1;1;3;215;1;2015;4;0;1;Maanantai;82;1;1;100;0;1;1;2;1;1;91;1;60;100;1;30931;1099;234;382361;6675920;E;1;9;0;2;104;10;97;76;57;1
1;1;3;218;1;2015;6;0;1;Torstai;80;1;1;80;0;2;1;4;1;1;91;1;60;100;1;30931;1099;234;382358;6675920;E;1;12;0;2;104;10;97;76;57;1
1;1;3;259;1;2015;7;2;1;Sunnuntai;83;1;1;100;0;2;1;2;1;1;91;1;60;100;1;30931;1099;234;382317;6675926;E;1;18;0;2;104;10;97;76;57;1
1;1;3;322;2;2015;10;0;1;Torstai;6;6;2;60;0;2;1;2;1;1;91;1;60;100;1;30931;1099;267;382288;6675915;E;1;15;0;2;115;10;97;76;57;1
1;1;3;442;2;2015;4;0;1;Perjantai;9;13;3;60;0;2;1;6;1;1;91;1;60;100;1;30931;1099;267;382169;6675919;E;1;3;0;2;115;10;97;76;57;1
1;1;3;550;2;2015;4;0;1;Perjantai;8;6;5;60;1;2;1;4;1;1;91;1;60;100;1;30931;1099;267;382061;6675910;E;1;3;0;2;115;10;97;76;57;1
1;1;3;715;2;2015;3;0;1;Perjantai;20;5;2;80;0;1;4;2;1;1;91;1;80;100;1;30931;1099;267;381898;6675883;E;1;2;0;2;115;10;97;76;57;1
1;1;3;1392;1;2015;2;0;1;Torstai;81;1;1;100;0;1;4;3;1;1;91;1;100;100;1;30931;1099;234;381217;6675996;E;1;1;0;2;104;10;97;76;57;1
1;1;3;2669;2;2015;1;0;1;Perjantai;99;13;2;100;0;-1;3;-1;1;1;49;1;100;100;1;30931;1099;267;380067;6676482;E;1;4;0;2;115;10;97;76;57;1
1;1;3;3168;1;2015;2;0;1;Torstai;81;1;1;100;0;2;1;2;1;1;49;1;100;100;1;30931;1099;234;379590;6676662;E;1;2;0;2;104;10;97;76;57;1
1;1;3;3425;1;2015;3;0;1;Sunnuntai;90;11;2;80;0;1;3;2;1;1;49;1;100;100;1;30931;1099;201;379341;6676717;E;1;1;0;2;104;10;97;76;57;1
1;1;4;162;1;2015;4;0;1;Lauantai;90;11;2;100;0;-1;3;-1;1;1;49;1;100;100;1;66517;3044;221;378802;6676667;E;1;4;0;2;104;10;100;97;70;1
1;1;4;765;1;2015;11;2;1;Keskiviikko;8;6;3;100;0;2;4;4;1;1;49;1;100;100;1;66517;3044;234;378203;6676643;E;1;6;0;2;104;10;100;97;70;1
1;1;4;1540;1;2015;10;2;1;Torstai;8;6;2;80;0;1;1;1;1;1;49;1;100;100;1;66517;3044;234;377438;6676556;K;1;5;0;2;104;10;100;97;70;1
1;1;4;1930;1;2015;3;0;1;Tiistai;2;3;2;80;0;2;1;2;1;1;49;1;100;100;1;66517;3044;234;377060;6676472;K;1;4;0;2;104;10;100;97;70;1
1;1;4;2404;1;2015;6;0;1;Keskiviikko;90;11;2;100;0;1;1;1;1;1;49;1;100;100;1;66517;3044;234;376590;6676441;E;1;8;0;2;104;10;100;97;70;1
1;1;4;2607;1;2015;5;0;1;Maanantai;6;6;2;80;0;1;1;1;1;1;49;1;100;100;1;66517;3044;234;376388;6676451;E;1;12;0;2;104;10;100;97;70;1
1;1;4;2938;2;2015;2;2;1;Perjantai;80;1;1;100;0;6;4;2;1;1;49;1;100;100;1;66517;3044;221;376070;6676456;E;1;-1;0;2;104;10;100;97;70;1
1;1;5;643;1;2015;8;0;1;Sunnuntai;90;11;2;100;0;-1;1;-1;1;1;49;1;100;100;1;54217;2756;221;374992;6676296;E;1;18;0;2;104;10;100;86;59;1
1;1;5;1065;1;2015;3;0;1;Perjantai;6;6;2;100;0;1;1;2;1;1;49;1;100;100;1;54217;2756;221;374605;6676127;E;1;3;0;2;104;10;100;86;59;1
1;1;5;3679;1;2015;5;0;1;Tiistai;99;13;2;100;0;-1;1;-1;1;1;49;1;100;100;1;54217;2756;221;372244;6676589;E;1;15;0;2;104;10;100;86;59;1
1;1;5;5457;2;2015;8;0;1;Maanantai;90;11;2;100;0;1;1;1;1;1;49;1;100;100;1;54236;3014;221;370727;6677528;E;1;20;0;2;104;10;100;86;59;1
1;1;5;5484;1;2015;5;0;1;Keskiviikko;4;3;2;120;0;2;1;3;1;1;49;1;100;100;1;54236;3014;221;370720;6677552;E;1;12;0;2;104;10;100;86;59;1
1;1;5;6070;2;2015;10;2;1;Keskiviikko;7;6;2;100;0;1;1;1;1;1;49;1;100;100;1;54236;3014;221;370187;6677826;E;1;-2;0;2;104;10;100;86;59;1
1;1;6;2708;2;2015;4;0;1;Keskiviikko;90;11;2;120;0;-1;3;-1;1;1;49;1;120;120;1;41684;3725;221;367081;6679135;E;1;7;0;2;104;10;100;81;44;1
1;1;6;2888;1;2015;6;0;1;Sunnuntai;90;11;2;120;0;-1;2;-1;1;1;49;1;120;120;1;41684;3725;221;366938;6679215;E;1;14;0;2;104;10;100;81;44;1
1;1;6;3117;1;2015;10;0;1;Keskiviikko;6;6;2;100;0;1;1;1;1;1;49;1;120;120;1;41684;3725;221;366747;6679340;E;1;9;0;2;104;10;100;81;44;1
1;1;6;3580;1;2015;1;0;1;Lauantai;90;11;2;100;0;2;4;2;1;1;49;1;120;120;1;41684;3725;221;366409;6679655;E;1;0;0;2;104;10;100;81;44;1
1;1;6;4742;1;2015;5;0;1;Tiistai;90;11;2;120;0;1;1;1;1;1;49;1;120;120;1;41684;3725;221;365825;6680649;E;1;15;0;2;104;10;100;81;44;1
1;1;7;464;1;2015;7;0;1;Lauantai;90;10;2;120;0;1;4;2;1;1;49;1;120;120;1;39479;2722;221;364906;6681270;E;1;12;0;2;104;10;100;87;60;1
1;1;7;496;1;2015;4;0;1;Sunnuntai;81;1;1;120;0;1;1;1;1;1;49;1;120;120;1;39479;2722;221;364875;6681278;E;1;13;0;2;104;10;100;87;60;1
1;1;7;2664;2;2015;10;2;1;Torstai;6;6;2;120;0;1;4;1;1;1;49;1;120;120;1;39479;2722;221;362926;6682223;E;1;9;0;2;104;10;100;87;60;1
1;1;7;3634;1;2015;7;2;1;Tiistai;82;1;1;120;0;1;1;2;1;1;49;1;120;120;1;39479;2722;221;362019;6682502;E;1;23;0;2;104;10;100;87;60;1
