Tienpit;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;ELY;Vkpv;Ontyyppi;Onluokka;Osallkm;Nopraj;Taajmerk;Pinta;Valoisuus;Saa;Onnpaikka;Maakunta;Kunta;Noplaji;Nopsuunvas;Nopsuunoik;Toimluokka;Kvl;Raskaskvl;Tienlev;X;Y;Tietyo;Paallyste;Lampotila;Risteys;Poikkileik;Paallyslev;Paallystlk;Nakos150;Nakos300;Nakos460;Runkotie
1;1;2;2436;2;2019;2;0;1;Tiistai;8;6;2;50;1;5;3;5;1;1;91;6;50;50;1;;;;382577;6675844;E;1;-2;4;2;;10;;;;0
1;1;3;12;1;2019;6;0;1;Keskiviikko;81;1;1;50;0;1;1;2;1;1;91;1;60;50;1;30515;1051;201;382543;6675979;E;1;16;0;2;104;10;97;76;57;1
1;1;3;13;1;2019;9;0;1;Perjantai;8;6;2;60;0;2;1;2;1;1;91;1;60;50;1;30515;1051;201;382542;6675979;E;1;13;0;2;104;10;97;76;57;1
1;1;3;15;1;2019;9;0;1;Sunnuntai;8;6;2;40;1;1;1;1;1;1;91;1;60;50;1;30515;1051;201;382540;6675979;E;1;10;4;2;104;10;97;76;57;1
1;1;3;76;1;2019;12;0;1;Perjantai;82;1;1;50;1;2;4;2;1;1;91;1;60;80;1;30515;1051;234;382491;6675945;E;1;5;0;2;104;10;97;76;57;1
1;1;3;93;1;2019;8;2;1;Torstai;81;1;1;80;0;1;1;1;1;1;91;1;60;80;1;30515;1051;234;382478;6675935;E;1;26;0;2;104;10;97;76;57;1
1;1;3;122;1;2019;5;2;1;Maanantai;83;1;1;100;0;1;1;1;1;1;91;1;60;80;1;30515;1051;234;382452;6675923;E;1;10;0;2;104;10;97;76;57;1
1;1;3;159;2;2019;5;2;1;Perjantai;8;6;2;60;0;1;1;1;1;1;91;1;60;100;1;30515;1051;267;382443;6675867;E;1;17;0;2;115;10;97;76;57;1
1;1;3;191;1;2019;3;2;1;Tiistai;82;1;1;100;0;1;4;2;1;1;91;1;60;100;1;30515;1051;234;382385;6675917;E;1;-11;0;2;104;10;97;76;57;1
1;1;3;915;2;2019;12;2;1;Torstai;80;1;1;80;0;6;4;1;1;1;91;1;80;100;1;30515;1051;267;381703;6675863;E;1;0;0;2;115;10;97;76;57;1
1;1;3;1440;1;2019;2;2;1;Sunnuntai;81;1;1;80;0;-1;4;6;1;1;91;1;100;100;1;30515;1051;234;381178;6676013;E;1;3;0;2;104;10;97;76;57;1
1;1;4;34;2;2019;1;2;1;Tiistai;81;1;1;100;0;5;4;6;1;1;49;1;100;100;1;73621;2823;221;378941;6676682;E;1;1;0;2;104;10;100;97;70;1
1;1;4;581;1;2019;10;0;1;Tiistai;6;6;2;60;0;2;2;2;1;1;49;1;100;100;1;73621;2823;221;378404;6676650;K;1;12;0;2;104;10;100;97;70;1
1;1;4;925;2;2019;5;2;1;Keskiviikko;6;6;7;100;0;1;1;1;1;1;49;1;100;100;1;73621;2823;267;378067;6676620;E;1;13;0;2;114;10;100;97;70;1
1;1;4;980;2;2019;4;0;1;Perjantai;2;3;2;100;0;1;1;1;1;1;49;1;100;100;1;73621;2823;267;378012;6676616;E;1;2;0;2;114;10;100;97;70;1
1;1;4;1354;2;2019;1;0;1;Keskiviikko;6;6;6;100;0;6;4;1;1;1;49;1;100;100;1;73621;2823;267;377634;6676576;E;1;-4;0;2;114;10;100;97;70;1
1;1;4;1472;2;2019;11;2;1;Perjantai;6;6;4;100;0;3;4;4;1;1;49;1;100;100;1;73621;2823;267;377530;6676559;E;1;5;0;2;114;10;100;97;70;1
1;1;4;1648;2;2019;5;0;1;Lauantai;2;3;2;100;0;1;1;2;1;1;49;1;100;100;1;73621;2823;267;377360;6676523;E;1;6;0;2;114;10;100;97;70;1
1;1;4;1790;1;2019;5;0;1;Maanantai;6;6;3;100;0;1;1;2;1;1;49;1;100;100;1;73621;2823;234;377216;6676505;E;1;14;0;2;104;10;100;97;70;1
1;1;4;1853;2;2019;7;2;1;Perjantai;99;13;2;100;0;1;1;1;1;1;49;1;100;100;1;73621;2823;267;377163;6676477;E;1;27;0;2;114;10;100;97;70;1
1;1;4;1856;1;2019;4;0;1;Perjantai;89;1;1;100;0;1;1;1;1;1;49;1;100;100;1;73621;2823;234;377152;6676490;E;1;11;0;2;104;10;100;97;70;1
1;1;4;2162;2;2019;12;2;1;Tiistai;6;6;3;100;0;1;4;2;1;1;49;1;100;100;1;73621;2823;267;376862;6676431;E;1;3;0;2;114;10;100;97;70;1
1;1;4;2391;2;2019;1;2;1;Perjantai;6;6;3;100;0;2;4;2;1;1;49;1;100;100;1;73621;2823;267;376615;6676426;E;1;1;0;2;114;10;100;97;70;1
1;1;5;552;2;2019;12;0;1;Tiistai;80;1;1;100;0;7;4;2;1;1;49;1;100;100;1;54723;2445;221;375114;6676327;E;1;-5;0;2;104;10;100;86;59;1
1;1;5;3572;2;2019;1;0;1;Perjantai;83;1;1;80;0;7;1;1;1;1;49;1;100;100;1;42309;2261;221;372331;6676489;E;1;1;0;2;104;10;100;86;59;1
1;1;5;4562;1;2019;8;0;1;Perjantai;6;6;4;100;0;1;1;2;1;1;235;1;100;100;1;42309;2261;221;371541;6677071;E;1;20;0;2;104;10;100;86;59;1
1;1;5;4997;1;2019;4;2;1;Perjantai;2;3;2;100;0;1;1;1;1;1;49;1;100;100;1;42309;2261;221;371158;6677274;E;1;10;0;2;104;10;100;86;59;1
1;1;6;2631;2;2019;7;2;1;Lauantai;84;1;1;120;0;3;1;4;1;1;49;1;120;120;1;43893;3863;221;367173;6679104;E;1;15;0;2;104;10;100;81;44;1
1;1;6;3165;1;2019;10;2;1;Perjantai;6;6;2;100;0;2;1;4;1;1;49;1;120;120;1;43893;3863;221;366721;6679360;E;1;10;0;2;104;10;100;81;44;1
1;1;6;3175;1;2019;9;0;1;Lauantai;90;12;2;120;0;1;1;1;1;1;49;1;120;120;1;43893;3863;221;366713;6679366;E;1;6;0;2;104;10;100;81;44;1
1;1;6;4059;1;2019;7;2;1;Torstai;94;13;2;120;0;1;1;1;1;1;49;1;120;120;1;43893;3863;221;366146;6680041;K;1;23;0;2;104;10;100;81;44;1
1;1;6;4578;1;2019;9;2;1;Perjantai;2;3;3;120;0;2;1;2;1;1;49;1;120;120;1;43893;3863;221;365925;6680513;E;1;16;0;2;104;10;100;81;44;1
1;1;6;4828;1;2019;1;2;1;Tiistai;7;6;2;80;0;6;1;5;1;1;49;1;120;120;1;43893;3863;221;365772;6680710;E;1;-3;0;2;104;10;100;81;44;1
1;1;7;356;2;2019;1;2;1;Keskiviikko;6;6;2;80;0;6;4;5;1;1;49;1;120;120;1;41752;2848;221;364989;6681228;E;1;-2;0;2;104;10;100;87;60;1
1;1;7;455;1;2019;8;2;1;Perjantai;6;6;6;120;0;1;1;1;1;1;49;1;120;120;1;41752;2848;221;364914;6681266;E;1;16;0;2;104;10;100;87;60;1
