Tienpit;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;ELY;Vkpv;Ontyyppi;Onluokka;Osallkm;Nopraj;Taajmerk;Pinta;Valoisuus;Saa;Onnpaikka;Maakunta;Kunta;Noplaji;Nopsuunvas;Nopsuunoik;Toimluokka;Kvl;Raskaskvl;Tienlev;X;Y;Tietyo;Paallyste;Lampotila;Risteys;Poikkileik;Paallyslev;Paallystlk;Nakos150;Nakos300;Nakos460;Runkotie
1;1;2;2569;2;2016;2;0;1;Torstai;30;2;2;40;1;2;4;2;1;1;91;6;50;50;1;;;;382555;6675978;E;1;1;4;2;;-1;;;;0
1;1;3;2;1;2016;8;0;1;Keskiviikko;8;6;3;40;1;2;1;2;1;1;91;1;60;50;1;30312;835;201;382552;6675978;E;1;16;4;2;104;10;97;76;57;1
1;1;3;26;2;2016;11;0;1;Keskiviikko;8;6;2;60;0;-1;3;-1;1;1;91;1;60;50;1;30312;835;201;382584;6675815;E;1;1;4;2;114;10;97;76;57;1
1;1;3;129;2;2016;1;0;1;Maanantai;8;6;2;60;0;-1;2;-1;1;1;91;1;60;80;1;30312;835;267;382470;6675855;E;1;-1;4;2;115;10;97;76;57;1
1;1;3;210;1;2016;8;0;1;Torstai;82;1;1;80;0;2;1;4;1;1;91;1;60;100;1;30312;835;234;382366;6675919;E;1;18;0;2;104;10;97;76;57;1
1;1;3;213;1;2016;8;0;1;Lauantai;82;1;1;80;0;2;1;2;1;1;91;1;60;100;1;30312;835;234;382364;6675920;E;1;19;0;2;104;10;97;76;57;1
1;1;3;216;1;2016;8;0;1;Maanantai;81;13;2;100;0;2;2;2;1;1;91;1;60;100;1;30312;835;234;382361;6675920;E;1;15;0;2;104;10;97;76;57;1
1;1;3;220;1;2016;12;2;1;Maanantai;80;1;1;100;0;6;4;4;1;1;91;1;60;100;1;30312;835;234;382357;6675921;E;1;2;0;2;104;10;97;76;57;1
1;1;3;341;2;2016;4;0;1;Maanantai;8;6;4;80;0;1;1;1;1;1;91;1;60;100;1;30312;835;267;382271;6675917;E;1;8;0;2;115;10;97;76;57;1
1;1;3;341;2;2016;4;0;1;Keskiviikko;3;3;2;60;0;2;1;4;1;1;91;1;60;100;1;30312;835;267;382271;6675917;E;1;9;0;2;115;10;97;76;57;1
1;1;3;387;1;2016;12;0;1;Tiistai;80;1;1;100;0;6;4;4;1;1;91;1;60;100;1;30312;835;234;382193;6675933;E;1;2;0;2;104;10;97;76;57;1
1;1;3;427;2;2016;11;0;1;Maanantai;89;1;1;80;0;4;4;5;1;1;91;1;60;100;1;30312;835;267;382185;6675920;E;1;-5;0;2;115;10;97;76;57;1
1;1;3;514;2;2016;8;0;1;Tiistai;6;6;2;60;0;1;1;2;1;1;91;1;60;100;1;30312;835;267;382099;6675915;E;1;17;0;2;115;10;97;76;57;1
1;1;3;1177;2;2016;7;2;1;Torstai;7;6;2;100;0;1;1;1;1;1;91;1;100;100;1;30312;835;267;381445;6675898;E;1;25;0;2;115;10;97;76;57;1
1;1;3;1567;2;2016;9;2;1;Keskiviikko;8;6;3;100;0;1;1;2;1;1;91;1;100;100;1;30312;835;267;381083;6676040;E;1;16;0;2;115;10;97;76;57;1
1;1;4;545;1;2016;10;2;1;Keskiviikko;89;1;1;100;0;1;4;1;1;1;49;1;100;100;1;67386;3016;221;378436;6676649;E;1;4;0;2;104;10;100;97;70;1
1;1;4;561;1;2016;1;0;1;Lauantai;81;1;1;100;0;6;1;5;1;1;49;1;100;100;1;67386;3016;221;378420;6676650;E;1;-9;0;2;104;10;100;97;70;1
1;1;4;564;2;2016;1;0;1;Lauantai;9;13;2;100;0;4;1;5;1;1;49;1;100;100;1;67386;3016;221;378418;6676632;E;1;-11;0;2;104;10;100;97;70;1
1;1;4;572;1;2016;1;0;1;Lauantai;7;6;2;100;0;6;1;1;1;1;49;1;100;100;1;67386;3016;221;378409;6676650;E;1;-11;0;2;104;10;100;97;70;1
1;1;4;1725;2;2016;1;0;1;Lauantai;4;3;3;100;0;6;1;5;1;1;49;1;100;100;1;67386;3016;267;377272;6676502;E;1;-10;0;2;114;10;100;97;70;1
1;1;4;2686;2;2016;5;0;1;Perjantai;8;6;4;100;0;1;1;1;1;1;49;1;100;100;1;67386;3016;267;376321;6676440;E;1;17;0;2;114;10;100;97;70;1
1;1;4;2698;2;2016;11;0;1;Maanantai;80;1;1;100;0;4;1;5;1;1;49;1;100;100;1;67386;3016;267;376309;6676441;E;1;-3;0;2;114;10;100;97;70;1
1;1;4;2947;2;2016;11;0;1;Keskiviikko;82;1;1;100;0;6;4;1;1;1;49;1;100;100;1;67386;3016;221;376062;6676456;E;1;-2;0;2;104;10;100;97;70;1
1;1;5;868;2;2016;1;0;1;Keskiviikko;3;3;2;100;0;2;4;4;1;1;49;1;100;100;1;54096;2578;221;374787;6676190;E;1;3;0;2;104;10;100;86;59;1
1;1;5;1450;1;2016;10;0;1;Keskiviikko;2;3;2;100;0;-1;1;-1;1;1;49;1;100;100;1;54096;2578;221;374234;6675995;E;1;10;0;2;104;10;100;86;59;1
1;1;5;1685;2;2016;12;0;1;Keskiviikko;81;1;1;100;0;1;4;2;1;1;49;1;100;100;1;54096;2578;221;374004;6675931;E;1;4;0;2;104;10;100;86;59;1
1;1;5;2430;2;2016;3;0;1;Torstai;93;1;1;50;0;1;4;3;1;1;49;1;100;100;1;54096;2578;221;373252;6675920;K;1;2;0;2;104;10;100;86;59;1
1;1;5;2608;1;2016;8;0;1;Sunnuntai;6;6;2;50;0;1;1;2;1;1;49;1;100;100;1;54096;2578;221;373079;6675973;K;1;18;0;2;104;10;100;86;59;1
1;1;5;2729;1;2016;6;0;1;Keskiviikko;81;1;1;50;0;2;1;2;1;1;49;1;100;100;1;54096;2578;221;372963;6676011;K;1;12;0;2;104;10;100;86;59;1
1;1;5;2950;2;2016;11;0;1;Tiistai;7;6;2;100;0;2;2;4;1;1;49;1;100;100;1;54096;2578;221;372757;6676093;E;1;5;0;2;104;10;100;86;59;1
1;1;5;2994;2;2016;12;0;1;Maanantai;6;6;2;100;0;-1;2;-1;1;1;49;1;100;100;1;54096;2578;221;372719;6676116;E;1;3;0;2;104;10;100;86;59;1
1;1;5;5034;2;2016;3;0;1;Maanantai;80;1;1;100;0;1;4;2;1;1;49;1;100;100;1;34130;1888;221;371059;6677318;E;1;1;0;2;104;10;100;86;59;1
1;1;5;5975;1;2016;5;0;1;Perjantai;90;11;2;50;0;1;1;1;1;1;49;1;100;100;1;34130;1888;221;370257;6677809;K;1;10;0;2;104;10;100;86;59;1
1;1;5;6338;1;2016;12;2;1;Perjantai;80;1;1;100;0;5;1;2;1;1;49;1;100;100;1;34130;1888;221;369945;6677999;E;1;-1;0;2;104;10;100;86;59;1
1;1;6;421;2;2016;2;0;1;Torstai;81;1;1;100;0;7;1;2;1;1;49;1;120;100;1;42580;3577;221;369162;6678351;E;1;-2;0;2;104;10;100;81;44;1
1;1;6;1027;2;2016;5;0;1;Torstai;90;11;2;120;0;1;1;1;1;1;49;1;120;120;1;42580;3577;221;368600;6678553;E;1;3;0;2;104;10;100;81;44;1
1;1;6;1221;2;2016;11;0;1;Keskiviikko;6;6;12;80;0;4;1;5;1;1;49;1;120;120;1;42580;3577;221;368425;6678630;E;1;-4;0;2;104;10;100;81;44;1
