Tienpit;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;ELY;Vkpv;Ontyyppi;Onluokka;Osallkm;Nopraj;Taajmerk;Pinta;Valoisuus;Saa;Onnpaikka;Maakunta;Kunta;Noplaji;Nopsuunvas;Nopsuunoik;Toimluokka;Kvl;Raskaskvl;Tienlev;X;Y;Tietyo;Paallyste;Lampotila;Risteys;Poikkileik;Paallyslev;Paallystlk;Nakos150;Nakos300;Nakos460;Runkotie
-1;338;;;;2017;6;0;4;Lauantai;90;10;2;-1;-1;-1;1;-1;1;6;837;-1;-1;-1;-1;;;;;;E;-1;15;0;-1;;-1;;;;
1;1;2;2409;2;2017;7;0;1;Lauantai;59;4;2;40;1;1;1;1;1;1;91;6;50;50;1;;;;382583;6675817;E;1;23;4;2;;-1;;;;0
1;1;2;2425;2;2017;8;0;1;Lauantai;86;1;1;60;1;2;4;2;1;1;91;6;50;50;1;;;;382565;6675829;E;1;12;4;2;;10;;;;0
1;1;3;18;2;2017;9;0;1;Keskiviikko;8;6;2;60;1;2;1;2;1;1;91;1;60;50;1;32428;1121;201;382578;6675845;E;1;7;4;2;114;10;97;76;57;1
1;1;3;26;2;2017;11;0;1;Maanantai;4;3;2;40;1;2;1;4;1;1;91;1;60;50;1;32428;1121;201;382578;6675823;E;1;7;4;2;114;10;97;76;57;1
1;1;3;76;2;2017;12;0;1;Torstai;4;3;2;60;0;2;2;2;1;1;91;1;60;80;1;32428;1121;267;382521;6675840;E;1;4;4;2;115;10;97;76;57;1
1;1;3;149;2;2017;1;0;1;Tiistai;6;6;2;50;0;4;3;1;1;1;91;1;60;80;1;32428;1121;267;382452;6675863;E;1;-4;0;2;115;10;97;76;57;1
1;1;3;394;2;2017;5;2;1;Maanantai;6;6;2;60;0;1;1;1;1;1;91;1;60;100;1;32428;1121;267;382218;6675920;E;1;20;4;2;115;10;97;76;57;1
1;1;3;977;2;2017;9;0;1;Maanantai;6;6;2;100;0;1;1;1;1;1;91;1;80;100;1;32428;1121;267;381641;6675865;E;1;15;0;2;115;10;97;76;57;1
1;1;3;3304;2;2017;11;2;1;Torstai;8;6;3;100;0;2;4;4;1;1;49;1;100;100;1;32428;1121;267;379477;6676677;E;1;4;0;2;115;10;97;76;57;1
1;1;3;3348;1;2017;1;2;1;Torstai;24;5;3;100;0;2;2;2;6;1;49;1;100;100;1;32428;1121;201;379431;6676705;E;1;2;0;2;104;10;97;76;57;1
1;1;4;635;2;2017;11;0;1;Maanantai;7;6;2;100;0;1;1;2;1;1;49;1;100;100;1;68589;2898;221;378348;6676632;E;1;5;0;2;104;10;100;97;70;1
1;1;4;790;2;2017;8;2;1;Tiistai;7;6;3;100;0;1;1;1;1;1;49;1;100;100;1;68589;2898;267;378194;6676627;E;1;20;0;2;114;10;100;97;70;1
1;1;4;856;1;2017;2;0;1;Keskiviikko;81;1;1;100;0;2;4;2;1;1;49;1;100;100;1;68589;2898;234;378120;6676639;E;1;1;0;2;104;10;100;97;70;1
1;1;4;858;1;2017;11;0;1;Sunnuntai;82;1;1;100;0;2;4;4;1;1;49;1;100;100;1;68589;2898;234;378118;6676639;E;1;4;0;2;104;10;100;97;70;1
1;1;4;1096;1;2017;12;0;1;Tiistai;3;3;2;100;0;1;4;1;1;1;49;1;100;100;1;68589;2898;234;377879;6676621;E;1;-2;0;2;104;10;100;97;70;1
1;1;4;1296;1;2017;10;2;1;Maanantai;6;6;2;80;0;1;4;2;1;1;49;1;100;100;1;68589;2898;234;377680;6676598;E;1;3;0;2;104;10;100;97;70;1
1;1;4;1300;1;2017;11;2;1;Torstai;9;13;4;100;0;2;4;-1;1;1;49;1;100;100;1;68589;2898;234;377676;6676598;E;1;4;0;2;104;10;100;97;70;1
1;1;4;1521;2;2017;11;2;1;Perjantai;6;6;5;100;0;3;4;4;1;1;49;1;100;100;1;68589;2898;267;377470;6676547;E;1;4;0;2;114;10;100;97;70;1
1;1;4;1689;1;2017;9;2;1;Torstai;3;3;2;100;0;1;1;1;1;1;49;1;100;100;1;68589;2898;234;377292;6676522;E;1;15;0;2;104;10;100;97;70;1
1;1;4;1803;1;2017;1;0;1;Keskiviikko;6;6;3;100;0;2;4;4;1;1;49;1;100;100;1;68589;2898;234;377180;6676497;E;1;3;0;2;104;10;100;97;70;1
1;1;4;1820;2;2017;6;0;1;Torstai;6;6;3;100;0;1;1;1;1;1;49;1;100;100;1;68589;2898;267;377180;6676481;E;1;10;0;2;114;10;100;97;70;1
1;1;4;2071;1;2017;6;0;1;Maanantai;4;3;2;100;0;1;1;2;1;1;49;1;100;100;1;68589;2898;234;376915;6676452;E;1;10;0;2;104;10;100;97;70;1
1;1;4;2759;2;2017;12;2;1;Maanantai;6;6;5;100;0;1;1;1;1;1;49;1;100;100;1;68589;2898;267;376250;6676445;E;1;4;0;2;114;10;100;97;70;1
1;1;4;2797;2;2017;3;0;1;Torstai;4;3;2;100;0;2;1;2;1;1;49;1;100;100;1;68589;2898;267;376212;6676447;E;1;3;0;2;114;10;100;97;70;1
1;1;4;2824;2;2017;11;2;1;Maanantai;2;3;7;100;0;2;4;4;1;1;49;1;100;100;1;68589;2898;267;376185;6676441;E;1;2;0;2;114;10;100;97;70;1
1;1;4;2843;1;2017;12;0;1;Maanantai;6;6;2;100;0;2;3;2;1;1;49;1;100;100;1;68589;2898;234;376140;6676468;E;1;2;0;2;104;10;100;97;70;1
1;1;4;2943;2;2017;4;0;1;Keskiviikko;99;13;2;100;0;-1;1;-1;1;1;49;1;100;100;1;68589;2898;221;376067;6676456;E;1;8;0;2;104;10;100;97;70;1
1;1;4;3041;1;2017;10;0;1;Torstai;8;6;3;80;0;2;2;4;1;1;49;1;100;100;1;68589;2898;221;375962;6676476;E;1;9;0;2;104;10;100;97;70;1
1;1;5;498;1;2017;4;2;1;Torstai;6;6;2;100;0;2;1;1;1;1;49;1;100;100;1;52888;2713;221;375125;6676362;E;1;6;0;2;104;10;100;86;59;1
1;1;5;616;1;2017;1;0;1;Tiistai;3;3;2;80;0;1;2;2;1;1;49;1;100;100;1;52888;2713;221;375020;6676308;E;1;-2;0;2;104;10;100;86;59;1
1;1;5;762;2;2017;11;2;1;Maanantai;6;6;6;100;0;2;4;2;1;1;49;1;100;100;1;52888;2713;221;374894;6676237;E;1;2;0;2;104;10;100;86;59;1
1;1;5;935;1;2017;4;0;1;Keskiviikko;4;3;2;100;0;1;1;2;1;1;49;1;100;100;1;52888;2713;221;374730;6676181;E;1;5;5;2;104;10;100;86;59;1
1;1;5;5487;2;2017;1;2;1;Torstai;9;13;2;100;0;6;1;2;1;1;49;1;100;100;1;33836;2038;221;370728;6677527;E;1;-2;0;2;104;10;100;86;59;1
1;1;5;5598;1;2017;5;0;1;Tiistai;90;10;2;80;0;1;2;2;1;1;49;1;100;100;1;33836;2038;221;370647;6677598;K;1;5;0;2;104;10;100;86;59;1
1;1;5;5625;2;2017;7;0;1;Tiistai;86;1;1;50;0;1;1;2;1;1;49;1;100;100;1;33836;2038;221;370611;6677600;K;1;18;5;2;104;10;100;86;59;1
1;1;5;6187;1;2017;12;0;1;Maanantai;7;6;3;100;0;1;2;1;1;1;49;1;100;100;1;33836;2038;221;370132;6677878;E;1;1;0;2;104;10;100;86;59;1
1;1;6;0;2;2017;2;0;1;Torstai;94;1;1;100;0;-1;3;-1;1;1;49;1;100;100;1;43021;3840;221;369577;6678224;E;1;-2;0;2;104;10;100;81;44;1
1;1;6;426;1;2017;7;0;1;Keskiviikko;81;1;1;50;0;1;1;1;1;1;49;1;120;100;1;43021;3840;221;369253;6678351;K;1;16;0;2;104;10;100;81;44;1
1;1;6;847;2;2017;11;0;1;Tiistai;8;6;3;100;0;2;4;2;1;1;49;1;120;120;1;43021;3840;221;368828;6678453;E;1;2;0;2;104;10;100;81;44;1
1;1;6;879;2;2017;7;2;1;Keskiviikko;4;3;2;50;0;1;1;1;1;1;49;1;120;120;1;43021;3840;221;368798;6678464;K;1;20;0;2;104;10;100;81;44;1
1;1;6;1452;1;2017;4;0;1;Maanantai;3;3;3;120;0;1;1;2;1;1;49;1;120;120;1;43021;3840;221;368284;6678689;E;1;5;0;2;104;10;100;81;44;1
1;1;6;1616;1;2017;7;0;1;Torstai;8;6;2;60;0;1;1;2;1;1;49;1;120;120;1;43021;3840;221;368122;6678723;K;1;17;0;2;104;10;100;81;44;1
1;1;6;1874;1;2017;4;2;1;Tiistai;7;6;3;100;0;1;1;1;1;1;49;1;120;120;1;43021;3840;221;367873;6678790;E;1;5;0;2;104;10;100;81;44;1
1;1;6;2473;1;2017;4;0;1;Perjantai;4;3;2;60;0;1;1;1;1;1;49;1;120;120;1;43021;3840;221;367346;6679075;K;1;3;0;2;104;10;100;81;44;1
1;1;6;3571;2;2017;5;0;1;Maanantai;81;1;1;60;0;1;1;1;1;1;49;1;120;120;1;43021;3840;221;366406;6679634;K;1;21;0;2;104;10;100;81;44;1
1;1;6;5383;2;2017;11;0;1;Keskiviikko;6;6;3;100;0;2;3;4;1;1;49;1;120;120;1;43021;3840;221;365333;6681069;E;1;2;0;2;104;10;100;81;44;1
1;1;7;267;2;2017;12;0;1;Lauantai;81;1;1;100;0;5;4;6;1;1;49;1;120;120;1;40586;2793;221;365073;6681199;E;1;1;0;2;104;10;100;87;60;1
1;1;7;3552;1;2017;1;0;1;Sunnuntai;82;1;1;100;0;1;4;1;1;1;49;1;120;120;1;40586;2793;221;362094;6682473;E;1;-2;0;2;104;10;100;87;60;1
1;1;7;4772;2;2017;7;2;1;Tiistai;6;6;2;120;0;2;1;4;1;1;257;1;120;120;1;40586;2793;221;361116;6683180;E;1;17;0;2;104;10;100;87;60;1
1;1;7;5298;2;2017;5;1;1;Lauantai;83;13;2;120;0;1;1;1;1;1;257;1;120;120;1;40586;2793;221;360795;6683593;E;1;12;0;2;104;10;100;87;60;1
1;1;7;5310;1;2017;1;0;1;Maanantai;9;13;2;100;0;-1;1;-1;1;1;257;1;120;120;1;40586;2793;221;360793;6683619;E;1;-3;0;2;104;10;100;87;60;1
1;1;7;5927;2;2017;12;2;1;Tiistai;81;13;4;80;0;6;3;5;1;1;257;1;120;120;1;40586;2793;221;360246;6683887;E;1;-2;0;2;104;10;100;87;60;1
1;1;7;6977;2;2017;11;2;1;Maanantai;7;6;5;100;0;2;3;3;1;1;257;1;120;120;1;40586;2793;221;359361;6684442;E;1;2;0;2;104;10;100;87;60;1
1;1;8;49;1;2017;8;0;1;Torstai;82;1;1;120;0;2;1;2;1;1;257;1;120;120;1;37582;2576;221;359144;6684668;E;1;16;0;2;104;10;100;86;55;1
1;1;8;298;2;2017;12;0;1;Torstai;7;6;2;100;0;-1;1;1;1;1;257;1;120;120;1;37582;2576;221;359010;6684858;E;1;1;0;2;104;10;100;86;55;1
1;1;8;390;2;2017;7;0;1;Keskiviikko;6;6;2;120;0;1;1;1;1;1;257;1;120;120;1;37582;2576;221;358975;6684943;E;1;23;0;2;104;10;100;86;55;1
1;1;8;622;1;2017;7;0;1;Keskiviikko;6;6;2;120;0;1;1;2;1;1;257;1;120;120;1;37582;2576;221;358895;6685182;E;1;22;0;2;104;10;100;86;55;1
1;1;8;1002;2;2017;1;0;1;Lauantai;91;13;2;100;0;4;2;5;1;1;257;1;120;120;1;37582;2576;221;358635;6685437;E;1;-5;0;2;104;10;100;86;55;1
1;1;8;1009;2;2017;2;2;1;Torstai;80;1;1;100;0;1;1;1;1;1;257;1;120;120;1;37582;2576;221;358629;6685441;E;1;-8;0;2;104;10;100;86;55;1
1;1;8;1098;2;2017;8;0;1;Keskiviikko;81;13;2;100;0;1;1;1;1;1;257;1;120;120;1;37582;2576;221;358553;6685487;E;1;16;0;2;104;10;100;86;55;1
1;1;8;1355;1;2017;8;0;1;Perjantai;8;6;3;120;0;1;1;1;6;1;257;1;120;120;1;37582;2576;221;358317;6685609;E;1;24;0;2;104;10;100;86;55;1
1;1;8;2642;2;2017;4;0;1;Lauantai;90;11;2;120;0;-1;1;-1;1;1;257;1;120;120;1;37582;2576;221;357181;6686175;E;1;5;0;2;104;10;100;86;55;1
1;1;8;2668;2;2017;11;0;1;Perjantai;90;10;2;100;0;1;3;2;1;1;257;1;120;120;1;37582;2576;221;357162;6686192;E;1;0;0;2;104;10;100;86;55;1
1;1;8;3390;2;2017;5;0;1;Sunnuntai;90;10;2;120;0;1;1;1;1;1;927;1;120;120;1;37582;2576;221;356503;6686455;E;1;20;0;2;104;10;100;86;55;1
1;1;8;4369;2;2017;8;0;1;Tiistai;90;10;2;120;0;-1;1;-1;1;1;927;1;120;120;1;37582;2576;221;355619;6686871;E;1;13;0;2;104;10;100;86;55;1
