Tienpit;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;ELY;Vkpv;Ontyyppi;Onluokka;Osallkm;Nopraj;Taajmerk;Pinta;Valoisuus;Saa;Onnpaikka;Maakunta;Kunta;Noplaji;Nopsuunvas;Nopsuunoik;Toimluokka;Kvl;Raskaskvl;Tienlev;X;Y;Tietyo;Paallyste;Lampotila;Risteys;Poikkileik;Paallyslev;Paallystlk;Nakos150;Nakos300;Nakos460;Runkotie
1;1;3;3;2;2018;7;0;1;Keskiviikko;4;3;2;40;1;1;1;1;1;1;91;6;50;50;1;;;;382589;6675855;E;1;30;4;2;;10;;;;0
1;1;3;7;1;2018;6;0;1;Lauantai;49;4;2;40;1;1;1;1;1;1;91;1;60;50;1;31782;1087;201;382548;6675979;E;1;17;4;2;104;10;97;76;57;0
1;1;3;151;2;2018;12;0;1;Lauantai;84;1;1;60;0;4;2;5;1;1;91;1;60;80;1;31782;1087;267;382450;6675864;E;1;-7;0;2;115;10;97;76;57;0
1;1;3;185;1;2018;2;0;1;Keskiviikko;82;1;1;100;0;4;1;2;1;1;91;1;60;100;1;31782;1087;234;382391;6675916;E;1;-4;0;2;104;10;97;76;57;0
1;1;3;505;1;2018;4;2;1;Perjantai;40;8;2;40;1;1;1;1;1;1;91;1;60;100;1;31782;1087;234;382076;6675926;E;1;15;4;2;104;10;97;76;57;0
1;1;3;655;1;2018;12;0;1;Maanantai;90;11;2;100;0;1;3;1;1;1;91;1;60;100;1;31782;1087;234;381930;6675901;E;1;0;0;2;104;10;97;76;57;0
1;1;3;3013;1;2018;10;0;1;Maanantai;89;1;1;100;0;6;1;5;1;1;49;1;100;100;1;31782;1087;234;379748;6676615;E;1;-2;0;2;104;10;97;76;57;0
1;1;3;3670;2;2018;3;2;1;Tiistai;3;3;2;100;0;1;1;1;1;1;49;1;100;100;1;31782;1087;201;379116;6676705;E;1;-9;0;2;114;10;97;76;57;0
1;1;4;697;2;2018;10;0;1;Tiistai;8;6;3;100;0;2;1;2;1;1;49;1;100;100;1;72451;2991;221;378286;6676631;E;1;10;0;2;104;10;100;97;70;0
1;1;4;766;2;2018;5;0;1;Tiistai;6;6;3;100;0;1;1;1;1;1;49;1;100;100;1;72451;2991;267;378217;6676629;E;1;15;0;2;114;10;100;97;70;0
1;1;4;1405;1;2018;11;0;1;Torstai;8;6;4;100;0;1;4;1;1;1;49;1;100;100;1;72451;2991;234;377579;6676583;E;1;9;0;2;104;10;100;97;70;0
1;1;4;1451;1;2018;8;0;1;Maanantai;2;3;2;80;0;1;1;1;1;1;49;1;100;100;1;72451;2991;234;377534;6676576;E;1;19;0;2;104;10;100;97;70;0
1;1;4;1698;1;2018;11;0;1;Torstai;3;3;2;100;0;2;1;2;1;1;49;1;100;100;1;72451;2991;234;377293;6676522;E;1;7;0;2;104;10;100;97;70;0
1;1;4;1735;1;2018;12;2;1;Perjantai;8;6;4;100;0;1;4;1;1;1;49;1;100;100;1;72451;2991;234;377257;6676514;E;1;-4;0;2;104;10;100;97;70;0
1;1;4;1773;2;2018;4;0;1;Torstai;6;6;2;100;0;2;1;3;1;1;49;1;100;100;1;72451;2991;267;377226;6676491;E;1;4;0;2;114;10;100;97;70;0
1;1;4;2667;2;2018;12;0;1;Lauantai;81;1;1;100;0;1;4;1;1;1;49;1;100;100;1;72451;2991;267;376340;6676439;E;1;-5;0;2;114;10;100;97;70;0
1;1;4;2732;1;2018;4;2;1;Perjantai;6;6;4;100;0;1;1;1;1;1;49;1;100;100;1;72451;2991;234;376267;6676460;E;1;18;0;2;104;10;100;97;70;0
1;1;5;590;1;2018;1;0;1;Torstai;7;6;2;100;0;-1;3;-1;1;1;49;1;100;100;1;55456;2526;221;375042;6676324;E;1;-5;0;2;104;10;100;86;59;0
1;1;5;724;1;2018;1;0;1;Keskiviikko;6;6;5;100;0;2;4;2;1;1;49;1;100;100;1;55456;2526;221;374922;6676265;E;1;4;0;2;104;10;100;86;59;0
1;1;5;1228;1;2018;5;0;1;Perjantai;9;13;2;100;0;-1;1;-1;1;1;49;1;100;100;1;55456;2526;221;374460;6676068;E;1;18;0;2;104;10;100;86;59;0
1;1;5;1310;1;2018;7;0;1;Tiistai;6;6;4;80;0;1;1;1;1;1;49;1;100;100;1;55456;2526;221;374383;6676041;E;1;25;0;2;104;10;100;86;59;0
1;1;5;3339;1;2018;5;0;1;Maanantai;7;6;2;80;0;1;1;1;1;1;49;1;100;100;1;33759;1783;221;372491;6676333;E;1;20;0;2;104;10;100;86;59;0
1;1;5;3365;1;2018;11;0;1;Lauantai;80;1;1;60;0;1;4;2;1;1;49;1;100;100;1;33759;1783;221;372481;6676358;K;1;5;0;2;104;10;100;86;59;0
1;1;5;3629;2;2018;6;2;1;Lauantai;80;13;2;60;0;1;1;1;1;1;49;1;100;100;1;33759;1783;221;372290;6676529;K;1;20;0;2;104;10;100;86;59;0
1;1;5;4425;1;2018;12;0;1;Keskiviikko;9;13;2;100;0;6;4;2;1;1;235;1;100;100;1;33759;1783;221;371657;6677013;E;1;-2;0;2;104;10;100;86;59;0
1;1;5;4974;1;2018;7;0;1;Keskiviikko;83;1;1;60;0;1;1;2;1;1;235;1;100;100;1;33759;1783;221;371172;6677265;K;1;14;0;2;104;10;100;86;59;0
1;1;5;5588;2;2018;5;0;1;Tiistai;4;3;2;60;0;1;1;1;1;1;49;1;100;100;1;33759;1783;221;370643;6677581;K;1;13;2;2;104;10;100;86;59;0
1;1;5;5673;2;2018;1;0;1;Keskiviikko;80;1;1;100;0;4;4;5;1;1;49;1;100;100;1;33759;1783;221;370570;6677624;K;1;-5;0;2;104;10;100;86;59;0
1;1;5;5845;2;2018;2;0;1;Sunnuntai;6;6;2;80;0;4;1;5;1;1;49;1;100;100;1;33759;1783;221;370420;6677709;E;1;-8;0;2;104;10;100;86;59;0
1;1;6;854;2;2018;3;2;1;Perjantai;81;1;1;100;0;1;1;1;1;1;49;1;120;120;1;42592;3702;221;368821;6678455;E;1;4;0;2;104;10;100;81;44;0
1;1;6;1011;2;2018;8;2;1;Maanantai;6;6;4;120;0;2;1;1;1;1;49;1;120;120;1;42592;3702;221;368676;6678517;E;1;18;0;2;104;10;100;81;44;0
1;1;6;1750;2;2018;2;0;1;Keskiviikko;90;12;2;100;0;-1;1;-1;1;1;49;1;120;120;1;42592;3702;221;367971;6678738;E;1;-1;0;2;104;10;100;81;44;0
