Tienpit;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;ELY;Vkpv;Ontyyppi;Onluokka;Osallkm;Nopraj;Taajmerk;Pinta;Valoisuus;Saa;Onnpaikka;Maakunta;Kunta;Noplaji;Nopsuunvas;Nopsuunoik;Toimluokka;Kvl;Raskaskvl;Tienlev;X;Y;Tietyo;Paallyste;Lampotila;Risteys;Poikkileik;Paallyslev;Paallystlk;Nakos150;Nakos300;Nakos460;Runkotie
-1;;;;;2020;5;0;2;Maanantai;90;11;2;-1;-1;2;1;-1;1;2;631;-1;-1;-1;-1;;;;;;E;-1;7;0;-1;;-1;;;;
-1;;;;;2020;6;0;10;Maanantai;90;11;2;-1;-1;-1;1;-1;1;15;499;-1;-1;-1;-1;;;;;;E;-1;17;0;-1;;-1;;;;
-1;;;;;2020;11;0;1;Torstai;12;1;1;-1;-1;2;4;-1;1;1;91;-1;-1;-1;-1;;;;385792;6671884;E;1;9;0;-1;;-1;;;;
-1;;;;;2020;11;0;14;Torstai;90;12;2;-1;-1;-1;1;-1;1;19;148;-1;-1;-1;-1;;;;;;E;-1;;0;-1;;-1;;;;
1;1;3;29;2;2020;6;0;1;Tiistai;6;6;3;50;1;1;1;2;1;1;91;1;60;50;1;31179;999;201;382569;6675828;E;1;18;4;2;114;10;97;76;57;1
1;1;3;3356;2;2020;10;0;1;Lauantai;7;6;2;80;0;1;1;1;1;1;49;1;100;100;1;31179;999;201;379427;6676687;E;1;6;0;2;114;10;97;76;57;1
1;1;4;162;1;2020;3;0;1;Tiistai;2;3;2;100;0;1;1;1;1;1;49;1;100;100;1;74444;2533;221;378819;6676670;E;1;-4;0;2;104;10;100;97;70;1
1;1;4;1634;2;2020;1;0;1;Maanantai;6;6;3;100;0;1;1;2;1;1;49;1;100;100;1;74444;2533;267;377374;6676526;E;1;5;0;2;114;10;100;97;70;1
1;1;4;2167;2;2020;4;0;1;Lauantai;7;6;2;100;0;1;4;2;1;1;49;1;100;100;1;74444;2533;267;376857;6676431;E;1;4;0;2;114;10;100;97;70;1
1;1;4;2426;1;2020;11;2;1;Torstai;6;6;3;100;0;2;2;2;1;1;49;1;100;100;1;74444;2533;234;376591;6676441;E;1;5;0;2;104;10;100;97;70;1
1;1;4;2901;1;2020;11;0;1;Torstai;6;6;3;100;0;1;3;2;1;1;49;1;100;100;1;74444;2533;234;376120;6676469;E;1;8;0;2;104;10;100;97;70;1
1;1;4;3017;1;2020;9;2;1;Torstai;6;6;3;100;0;1;4;3;1;1;49;1;100;100;1;74444;2533;221;376005;6676475;E;1;12;0;2;104;10;100;97;70;1
1;1;5;810;2;2020;10;1;1;Perjantai;6;6;2;100;0;2;1;1;1;1;49;1;100;100;1;58003;2508;221;374874;6676228;E;1;10;0;2;104;10;100;86;59;1
1;1;5;908;1;2020;9;0;1;Maanantai;9;13;2;100;0;1;1;1;1;1;49;1;100;100;1;58003;2508;221;374773;6676200;E;1;17;0;2;104;10;100;86;59;1
1;1;5;4241;2;2020;12;0;1;Perjantai;6;6;4;100;0;1;4;1;1;1;235;1;100;100;1;45602;2279;221;371814;6676896;E;1;0;0;2;104;10;100;86;59;1
1;1;5;6065;2;2020;10;2;1;Torstai;80;1;1;100;0;3;1;4;1;1;49;1;100;100;1;36012;1686;221;370225;6677805;E;1;9;0;2;104;10;100;86;59;1
1;1;6;796;2;2020;10;0;1;Tiistai;80;1;1;100;0;-1;1;4;1;1;49;1;120;120;1;44230;3910;221;368876;6678435;E;1;11;0;2;104;10;100;81;44;1
1;1;6;4176;1;2020;10;2;1;Sunnuntai;80;1;1;120;0;2;2;2;1;1;49;1;120;120;1;44230;3910;221;366101;6680151;E;1;5;0;2;104;10;100;81;44;1
