Tienpit;Tie;Aosa;Aet;Ajr;Vuosi;Kk;Vakavuusko;ELY;Vkpv;Ontyyppi;Onluokka;Osallkm;Nopraj;Taajmerk;Pinta;Valoisuus;Saa;Onnpaikka;Maakunta;Kunta;Noplaji;Nopsuunvas;Nopsuunoik;Toimluokka;Kvl;Raskaskvl;Tienlev;X;Y;Tietyo;Paallyste;Lampotila;Risteys;Poikkileik;Paallyslev;Paallystlk;Nakos150;Nakos300;Nakos460;Runkotie
1;1;3;3;2;2014;10;0;1;Torstai;86;1;1;60;0;1;4;1;1;1;91;1;60;50;1;31063;1172;201;382589;6675854;E;1;10;4;2;114;10;97;76;57;1
1;1;3;8;1;2014;1;0;1;Tiistai;11;2;2;40;1;2;1;4;1;1;91;1;60;50;1;31063;1172;201;382544;6676024;E;1;2;0;2;104;10;97;76;57;1
1;1;3;8;1;2014;8;0;1;Perjantai;6;6;3;40;1;1;1;2;1;1;91;1;60;50;1;31063;1172;201;382543;6676037;E;1;16;0;2;104;10;97;76;57;1
1;1;3;21;2;2014;3;0;1;Lauantai;30;2;2;40;0;2;1;6;1;1;91;1;60;50;1;31063;1172;201;382576;6675843;E;1;4;4;2;114;10;97;76;57;1
1;1;3;30;2;2014;11;0;1;Lauantai;4;3;2;40;1;1;4;2;1;1;91;1;60;50;1;31063;1172;267;382567;6675840;E;1;2;4;2;115;10;97;76;57;1
1;1;3;72;2;2014;10;0;1;Keskiviikko;2;3;2;60;1;2;2;2;1;1;91;1;60;80;1;31063;1172;267;382525;6675839;E;1;9;0;2;115;10;97;76;57;1
1;1;3;235;1;2014;2;0;1;Perjantai;9;13;2;80;0;2;2;4;1;1;91;1;60;100;1;31063;1172;234;382341;6675923;E;1;1;0;2;104;10;97;76;57;1
1;1;3;280;1;2014;7;0;1;Keskiviikko;82;1;1;100;0;2;1;1;1;1;91;1;60;100;1;31063;1172;234;382297;6675928;E;1;14;0;2;104;10;97;76;57;1
1;1;3;294;1;2014;1;0;1;Keskiviikko;9;13;2;100;0;6;1;1;1;1;91;1;60;100;1;31063;1172;234;382283;6675929;E;1;-10;0;2;104;10;97;76;57;1
1;1;3;450;2;2014;12;2;1;Torstai;89;1;1;60;1;2;4;2;1;1;91;1;60;100;1;31063;1172;267;382161;6675919;E;1;0;0;2;115;10;97;76;57;1
1;1;3;480;2;2014;5;0;1;Torstai;81;1;1;100;0;2;1;4;1;1;91;1;60;100;1;31063;1172;267;382131;6675918;E;1;9;0;2;115;10;97;76;57;1
1;1;3;512;1;2014;2;0;1;Sunnuntai;84;1;1;100;0;6;1;1;1;1;91;1;60;100;1;31063;1172;234;382067;6675925;E;1;0;0;2;104;10;97;76;57;1
1;1;3;535;2;2014;9;0;1;Perjantai;4;3;2;60;1;1;4;1;1;1;91;1;60;100;1;31063;1172;267;382076;6675912;E;1;15;0;2;115;10;97;76;57;1
1;1;3;546;1;2014;9;0;1;Tiistai;4;3;2;100;0;1;1;1;1;1;91;1;60;100;1;31063;1172;234;382034;6675920;E;1;15;0;2;104;10;97;76;57;1
1;1;3;1656;2;2014;1;0;1;Torstai;2;3;3;80;0;2;2;2;1;1;91;1;100;100;1;31063;1172;267;380996;6676078;E;1;-10;0;2;115;10;97;76;57;1
1;1;3;1795;2;2014;5;2;1;Torstai;81;1;1;60;1;3;1;4;1;1;91;1;100;100;1;31063;1172;267;380869;6676134;E;1;7;0;2;115;10;97;76;57;1
1;1;3;2512;2;2014;8;0;1;Keskiviikko;4;3;2;60;0;2;4;2;1;1;49;1;100;100;1;31063;1172;267;380212;6676422;K;1;12;0;2;115;10;97;76;57;1
1;1;3;3144;1;2014;3;0;1;Keskiviikko;90;11;2;100;0;1;4;2;1;1;49;1;100;100;1;31063;1172;234;379613;6676656;E;1;1;0;2;104;10;97;76;57;1
1;1;3;3201;2;2014;5;0;1;Maanantai;90;11;2;100;0;-1;1;-1;1;1;49;1;100;100;1;31063;1172;267;379564;6676654;E;1;16;0;2;115;10;97;76;57;1
1;1;4;360;1;2014;12;0;1;Maanantai;6;6;2;80;0;2;4;4;1;1;49;1;100;100;1;65653;3212;221;378606;6676645;E;1;3;0;2;104;10;100;97;70;1
1;1;4;546;1;2014;9;0;1;Perjantai;6;6;2;80;0;1;4;1;1;1;49;1;100;100;1;65653;3212;221;378421;6676650;E;1;20;0;2;104;10;100;97;70;1
1;1;4;1717;1;2014;1;2;1;Sunnuntai;81;1;1;100;0;6;1;2;1;1;49;1;100;100;1;65653;3212;234;377267;6676516;E;1;-7;0;2;104;10;100;97;70;1
1;1;4;1971;2;2014;2;0;1;Maanantai;2;3;2;100;0;-1;1;4;1;1;49;1;100;100;1;65653;3212;267;377026;6676451;E;1;2;0;2;114;10;100;97;70;1
1;1;4;2255;1;2014;6;0;1;Torstai;90;11;2;100;0;-1;1;-1;1;1;49;1;100;100;1;65653;3212;234;376738;6676440;E;1;9;0;2;104;10;100;97;70;1
1;1;4;2697;1;2014;2;0;1;Maanantai;8;6;3;100;0;3;2;3;1;1;49;1;100;100;1;65653;3212;234;376299;6676458;E;1;1;0;2;104;10;100;97;70;1
1;1;4;3050;1;2014;1;0;1;Tiistai;6;6;3;100;0;6;4;2;1;1;49;1;100;100;1;65653;3212;221;375949;6676476;E;1;-11;0;2;104;10;100;97;70;1
1;1;5;284;2;2014;5;0;1;Maanantai;90;11;3;100;0;1;4;1;1;1;49;1;100;100;1;54236;3014;221;375342;6676400;E;1;21;0;2;104;10;100;86;59;1
1;1;5;724;1;2014;4;0;1;Lauantai;99;13;1;100;0;1;1;1;1;1;49;1;100;100;1;54236;3014;221;374918;6676263;E;1;12;0;2;104;10;100;86;59;1
